36,0
52,1
60,2
72,3
80,4
92,5
108,6
120,7
128,8
140,9
152,10
164,11
172,12
184,13
196,14
216,15
224,16
236,17
248,18
260,19
268,20
280,21
292,22
308,23
316,24
328,25
340,26
352,27
360,28
372,29
384,30
400,31
416,32
428,33
440,34
452,35
460,36
472,37
484,38
500,39
508,40
520,41
532,42
544,43
552,44
564,45
576,46
592,47
604,48
616,49
628,50
640,51
648,52
660,53
672,54
688,55
696,56
708,57
720,58
732,59
740,60
752,61
764,62
780,63
792,64
812,65
824,66
836,67
844,68
856,69
868,70
884,71
892,72
904,73
916,74
928,75
936,76
948,77
960,78
976,79
988,80
1000,81
1012,82
1024,83
1032,84
1044,85
1056,86
1072,87
1080,88
1092,89
1104,90
1116,91
1124,92
1136,93
1148,94
1164,95
1176,96
1192,97
1204,98
